cellosaurus_ac,pharmacodb_id,cell_line
CVCL_M605,105KC_1_2019,105KC
CVCL_0110,1321N1_2_2019,1321N1
CVCL_2270,143B_3_2019,143B
CVCL_3040,184A1_4_2019,184A1
CVCL_4688,184B5_5_2019,184B5
CVCL_U759,2004_6_2019,2004
CVCL_X481,201T_7_2019,201T
CVCL_7931,21MT1_8_2019,21MT1
CVCL_7932,21MT2_9_2019,21MT2
CVCL_7933,21NT_10_2019,21NT
CVCL_7934,21PT_11_2019,21PT
CVCL_1045,22RV1_12_2019,22RV1
CVCL_1046,2313287_13_2019,23132-87
CVCL_7935,253J_14_2019,253J
CVCL_7937,253JBV_15_2019,253J-BV
CVCL_1798,42MGBA_16_2019,42-MG-BA
CVCL_6357,451Lu_17_2019,451Lu
CVCL_0V14,501A_18_2019,501A
CVCL_8052,537MEL_19_2019,537 MEL
CVCL_0126,5637_20_2019,5637
CVCL_2291,59M_21_2019,59M
CVCL_9875,600MPE_22_2019,600MPE
CVCL_8054,624mel_23_2019,624 mel
CVCL_1048,639V_24_2019,639-V
CVCL_1049,647V_25_2019,647-V
CVCL_0079,697_26_2019,697
CVCL_1050,769P_27_2019,769-P
CVCL_1051,7860_28_2019,786-0
CVCL_1052,8MGBA_29_2019,8-MG-BA
CVCL_1053,8305C_30_2019,8305C
CVCL_1054,8505C_31_2019,8505C
CVCL_4632,888mel_32_2019,888-mel
CVCL_C694,928mel_33_2019,928 mel
CVCL_1057,A101D_34_2019,A101D
CVCL_8481,A1207_35_2019,A1207
CVCL_0131,A172_36_2019,A172
CVCL_1058,A204_37_2019,A204
CVCL_1059,A2058_38_2019,A2058
CVCL_1060,A253_39_2019,A253
CVCL_0134,A2780_40_2019,A2780
CVCL_1062,A3KAW_41_2019,A3-KAW
CVCL_0132,A375_42_2019,A375
CVCL_1063,A388_43_2019,A388
CVCL_1064,A4Fuk_44_2019,A4-Fuk
CVCL_1055,A427_45_2019,A427
CVCL_0037,A431_46_2019,A431
CVCL_1056,A498_47_2019,A498
CVCL_0023,A549_48_2019,A549
CVCL_0080,A673_49_2019,A673
CVCL_1065,A704_50_2019,A704
CVCL_1066,ABC1_51_2019,ABC-1
CVCL_5113,ACCMESO1_52_2019,ACC-MESO-1
CVCL_6876,ACCS_53_2019,ACCS
CVCL_1067,ACHN_54_2019,ACHN
CVCL_1068,ACN_55_2019,ACN
CVCL_0139,AGS_56_2019,AGS
CVCL_1069,ALLPO_58_2019,ALL-PO
CVCL_1805,ALLSIL_59_2019,ALL-SIL
CVCL_1070,AM38_60_2019,AM-38
CVCL_1071,AML193_61_2019,AML-193
CVCL_1806,AMO1_62_2019,AMO-1
CVCL_0028,AN3CA_63_2019,AN3-CA
CVCL_1072,ARH77_64_2019,ARH-77
CVCL_2856,ASH3_65_2019,ASH-3
CVCL_6C43,ASKA_66_2019,ASKA
CVCL_0152,AsPC1_67_2019,AsPC-1
CVCL_1073,ATN1_68_2019,ATN-1
CVCL_2299,ATRFLOX_69_2019,ATRFLOX
CVCL_1074,AU565_70_2019,AU565
CVCL_2862,AZ521_72_2019,AZ-521
CVCL_1075,BALL1_73_2019,BALL-1
CVCL_1076,BB30HNC_74_2019,BB30-HNC
CVCL_1077,BB49HNC_75_2019,BB49-HNC
CVCL_1078,BB65RCC_76_2019,BB65-RCC
CVCL_1079,BC1_77_2019,BC-1
CVCL_1856,BC2_78_2019,BC-2
CVCL_1080,BC3_79_2019,BC-3
CVCL_1958,BC3C_80_2019,BC-3C
CVCL_0107,BCP1_81_2019,BCP-1
CVCL_0153,BCPAP_82_2019,BCPAP
CVCL_4613,BDCM_83_2019,BDCM
CVCL_1081,BE13_84_2019,BE-13
CVCL_0167,BE2M17_85_2019,BE2-M17
CVCL_1093,Becker_86_2019,Becker
CVCL_1082,BEN_87_2019,BEN
CVCL_1083,BFTC905_88_2019,BFTC-905
CVCL_1084,BFTC909_89_2019,BFTC-909
CVCL_3360,BGC823_90_2019,BGC-823
CVCL_1085,BHT101_91_2019,BHT-101
CVCL_1086,BHY_92_2019,BHY
CVCL_2307,BICR10_93_2019,BICR 10
CVCL_2308,BICR16_94_2019,BICR 16
CVCL_2309,BICR18_95_2019,BICR 18
CVCL_2310,BICR22_96_2019,BICR 22
CVCL_2312,BICR31_97_2019,BICR 31
CVCL_2313,BICR56_98_2019,BICR 56
CVCL_2314,BICR6_99_2019,BICR 6
CVCL_2315,BICR78_100_2019,BICR 78
CVCL_6573,BJhTERT_101_2019,BJ hTERT
CVCL_5711,BJAB_102_2019,BJAB
CVCL_1087,BL41_103_2019,BL-41
CVCL_1088,BL70_104_2019,BL-70
CVCL_1089,BOKU_105_2019,BOKU
CVCL_1090,BONNA12_106_2019,BONNA-12
CVCL_1091,BPH1_107_2019,BPH-1
CVCL_0178,BT20_108_2019,BT-20
CVCL_0179,BT474_109_2019,BT-474
CVCL_2319,BT483_110_2019,BT-483
CVCL_1092,BT549_111_2019,BT-549
CVCL_M155,BT12_113_2019,BT12
CVCL_IP10,BT145_116_2019,BT145
CVCL_WW40,BT147_117_2019,BT147
CVCL_IP11,BT159_118_2019,BT159
CVCL_M156,BT16_119_2019,BT16
CVCL_WW41,BT164_120_2019,BT164
CVCL_IP12,BT172_121_2019,BT172
CVCL_IP13,BT245_130_2019,BT245
CVCL_0181,BV173_148_2019,BV-173
CVCL_0186,BxPC3_149_2019,BxPC-3
CVCL_1094,C33A_150_2019,C-33-A
CVCL_2253,C4I_151_2019,C-4 I
CVCL_S959,C170_152_2019,C170
CVCL_1096,C2BBe1_153_2019,C2BBe1
CVCL_1097,C32_154_2019,C32
CVCL_2324,C32TG_155_2019,C32TG
CVCL_1098,C3A_156_2019,C3A
CVCL_1099,C8166_157_2019,C8166
CVCL_1100,CaSki_158_2019,Ca-Ski
CVCL_1101,CA46_159_2019,CA46
CVCL_1102,Ca922_160_2019,Ca9-22
CVCL_0025,Caco2_161_2019,Caco-2
CVCL_1103,CADOES1_162_2019,CADO-ES1
CVCL_0234,CAKI1_163_2019,CAKI-1
CVCL_0235,Caki2_164_2019,Caki-2
CVCL_1104,CAL120_165_2019,CAL-120
CVCL_1105,CAL12T_166_2019,CAL-12T
CVCL_1106,CAL148_167_2019,CAL-148
CVCL_1107,CAL27_168_2019,CAL-27
CVCL_1808,CAL29_169_2019,CAL-29
CVCL_1108,CAL33_170_2019,CAL-33
CVCL_1109,CAL39_171_2019,CAL-39
CVCL_1110,CAL51_172_2019,CAL-51
CVCL_1111,CAL54_173_2019,CAL-54
CVCL_1112,CAL62_174_2019,CAL-62
CVCL_1113,CAL72_175_2019,CAL-72
CVCL_1809,CAL78_176_2019,CAL-78
CVCL_1114,CAL851_177_2019,CAL-85-1
CVCL_0608,Calu1_178_2019,Calu-1
CVCL_0609,Calu3_179_2019,Calu-3
CVCL_0236,Calu6_180_2019,Calu-6
CVCL_1115,CAMA1_181_2019,CAMA-1
CVCL_0201,Caov3_182_2019,Caov-3
CVCL_0202,Caov4_183_2019,Caov-4
CVCL_0237,CAPAN1_184_2019,CAPAN-1
CVCL_0026,Capan2_185_2019,Capan-2
CVCL_1116,CaR1_186_2019,CaR-1
CVCL_1117,CAS1_187_2019,CAS-1
CVCL_1118,CCFSTTG1_188_2019,CCF-STTG1
CVCL_2873,CCK81_189_2019,CCK-81
CVCL_0207,CCRFCEM_190_2019,CCRF-CEM
CVCL_1860,CCRFSB_191_2019,CCRF-SB
CVCL_0209,CESS_192_2019,CESS
CVCL_1119,CFPAC1_193_2019,CFPAC-1
CVCL_1120,CGTHW1_194_2019,CGTH-W-1
CVCL_5723,CH157MN_195_2019,CH-157MN
CVCL_1121,ChaGoK1_196_2019,ChaGo-K-1
CVCL_1122,CHL1_197_2019,CHL-1
CVCL_1123,CHP126_198_2019,CHP-126
CVCL_1124,CHP134_199_2019,CHP-134
CVCL_1125,CHP212_200_2019,CHP-212
CVCL_X483,CHSA0011_201_2019,CHSA0011
CVCL_X484,CHSA0108_202_2019,CHSA0108
CVCL_X485,CHSA8926_203_2019,CHSA8926
CVCL_1861,CI1_204_2019,CI-1
CVCL_U797,CJM_205_2019,CJM
CVCL_1978,CL11_206_2019,CL-11
CVCL_1979,CL14_207_2019,CL-14
CVCL_1980,CL34_208_2019,CL-34
CVCL_1982,CL40_209_2019,CL-40
CVCL_0216,CMK_210_2019,CMK
CVCL_0217,CMK115_211_2019,CMK-11-5
CVCL_2804,CMK86_212_2019,CMK-86
CVCL_1126,CMLT1_213_2019,CML-T1
CVCL_1987,COLO201_214_2019,COLO 201
CVCL_1988,COLO206F_215_2019,COLO 206F
CVCL_0219,COLO320DM_216_2019,COLO 320DM
CVCL_1996,COLO775_217_2019,COLO 775
CVCL_2408,COLO794_218_2019,COLO 794
CVCL_2003,COLO853_219_2019,COLO 853
CVCL_2004,COLO857_220_2019,COLO 857
CVCL_0218,COLO205_221_2019,COLO-205
CVCL_1989,COLO320_222_2019,COLO-320
CVCL_0220,COLO320HSR_223_2019,COLO-320-HSR
CVCL_1128,COLO668_224_2019,COLO-668
CVCL_1862,COLO677_225_2019,COLO-677
CVCL_1129,COLO678_226_2019,COLO-678
CVCL_1130,COLO679_227_2019,COLO-679
CVCL_1131,COLO680N_228_2019,COLO-680N
CVCL_1132,COLO684_229_2019,COLO-684
CVCL_1992,COLO699_230_2019,COLO-699
CVCL_1994,COLO704_231_2019,COLO-704
CVCL_1133,COLO741_232_2019,COLO-741
CVCL_1997,COLO783_233_2019,COLO-783
CVCL_1134,COLO792_234_2019,COLO-792
CVCL_1135,COLO800_235_2019,COLO-800
CVCL_1998,COLO818_236_2019,COLO-818
CVCL_1136,COLO824_237_2019,COLO-824
CVCL_1137,COLO829_238_2019,COLO-829
CVCL_2002,COLO849_239_2019,COLO-849
CVCL_1138,CORL105_240_2019,COR-L105
CVCL_1139,CORL23_241_2019,COR-L23
CVCL_2409,CORL24_242_2019,COR-L24
CVCL_2410,CORL26_243_2019,COR-L26
CVCL_1140,CORL279_244_2019,COR-L279
CVCL_2411,CORL303_245_2019,COR-L303
CVCL_2412,CORL311_246_2019,COR-L311
CVCL_2413,CORL32_247_2019,COR-L32
CVCL_2414,CORL321_248_2019,COR-L321
CVCL_2415,CORL47_249_2019,COR-L47
CVCL_2416,CORL51_250_2019,COR-L51
CVCL_1141,CORL88_251_2019,COR-L88
CVCL_2418,CORL95_252_2019,COR-L95
CVCL_2419,COV318_253_2019,COV318
CVCL_2420,COV362_254_2019,COV362
CVCL_2422,COV413A_255_2019,COV413A
CVCL_2423,COV413B_256_2019,COV413B
CVCL_2010,COV434_257_2019,COV434
CVCL_2424,COV504_258_2019,COV504
CVCL_2425,COV644_259_2019,COV644
CVCL_1143,CP50MELB_260_2019,CP50-MEL-B
CVCL_1144,CP66MEL_261_2019,CP66-MEL
CVCL_1145,CP67MEL_262_2019,CP67-MEL
CVCL_1146,CPCN_263_2019,CPC-N
CVCL_1147,CROAP2_264_2019,CRO-AP2
CVCL_1810,CROAP3_265_2019,CRO-AP3
CVCL_T023,CS1_266_2019,CS1
CVCL_1149,CTB1_267_2019,CTB-1
CVCL_1150,CTV1_268_2019,CTV-1
CVCL_1151,CW2_269_2019,CW-2
CVCL_2011,CX1_270_2019,CX-1
CVCL_1153,D247MG_271_2019,D-247MG
CVCL_1154,D263MG_272_2019,D-263MG
CVCL_1155,D283MED_273_2019,D-283MED
CVCL_1156,D336MG_274_2019,D-336MG
CVCL_1158,D392MG_275_2019,D-392MG
CVCL_1160,D423MG_276_2019,D-423MG
CVCL_1162,D502MG_277_2019,D-502MG
CVCL_1164,D542MG_278_2019,D-542MG
CVCL_1166,D566MG_279_2019,D-566MG
CVCL_0018,D341Med_280_2019,D341 Med
CVCL_0243,DANG_281_2019,DAN-G
CVCL_1167,Daoy_282_2019,Daoy
CVCL_0008,Daudi_283_2019,Daudi
CVCL_1168,DB_284_2019,DB
CVCL_1169,DBTRG05MG_285_2019,DBTRG-05MG
CVCL_1170,DEL_286_2019,DEL
CVCL_4161,DEOC1_287_2019,DEOC-1
CVCL_1171,Detroit562_288_2019,Detroit562
CVCL_A762,DFCI024_289_2019,DFCI024
CVCL_0244,DG75_290_2019,DG-75
CVCL_6895,DIFI_291_2019,DIFI
CVCL_1172,DJM1_292_2019,DJM-1
CVCL_1173,DKMG_293_2019,DK-MG
CVCL_0248,DLD1_294_2019,DLD-1
CVCL_2019,DM3_295_2019,DM-3
CVCL_2438,DMS454_296_2019,DMS 454
CVCL_1174,DMS114_297_2019,DMS-114
CVCL_1175,DMS153_298_2019,DMS-153
CVCL_1176,DMS273_299_2019,DMS-273
CVCL_1177,DMS53_300_2019,DMS-53
CVCL_1178,DMS79_301_2019,DMS-79
CVCL_2022,DND41_302_2019,DND-41
CVCL_1179,DOHH2_303_2019,DOHH-2
CVCL_1180,DOK_304_2019,DOK
CVCL_1181,DoTc24510_306_2019,DoTc2-4510
CVCL_6774,DOV13_307_2019,DOV13
CVCL_1182,DSH1_308_2019,DSH1
CVCL_0105,DU145_309_2019,DU-145
CVCL_1183,DU4475_310_2019,DU-4475
CVCL_1184,DV90_311_2019,DV-90
CVCL_1185,EB3_312_2019,EB-3
CVCL_2027,EB1_313_2019,EB1
CVCL_1186,EB2_314_2019,EB2
CVCL_2891,EBC1_315_2019,EBC-1
CVCL_1187,ECGI10_316_2019,EC-GI-10
CVCL_1188,ECC10_317_2019,ECC10
CVCL_1189,ECC12_318_2019,ECC12
CVCL_1190,ECC4_319_2019,ECC4
CVCL_1191,EFE184_320_2019,EFE-184
CVCL_0253,EFM19_321_2019,EFM-19
CVCL_1812,EFM192A_322_2019,EFM-192A
CVCL_1813,EFM192B_323_2019,EFM-192B
CVCL_1814,EFM192C_324_2019,EFM-192C
CVCL_0029,EFO21_325_2019,EFO-21
CVCL_1192,EFO27_326_2019,EFO-27
CVCL_1193,EGI1_327_2019,EGI-1
CVCL_1194,EHEB_328_2019,EHEB
CVCL_2030,EJM_329_2019,EJM
CVCL_1195,EKVX_330_2019,EKVX
CVCL_1196,EM2_331_2019,EM-2
CVCL_X486,EMCBAC1_332_2019,EMC-BAC-1
CVCL_X487,EMCBAC2_333_2019,EMC-BAC-2
CVCL_2034,EN_334_2019,EN
CVCL_0258,EoL1cell_335_2019,EoL-1-cell
CVCL_1197,EPLC272H_336_2019,EPLC-272H
CVCL_3509,ES2_337_2019,ES-2
CVCL_1198,ES1_338_2019,ES1
CVCL_1199,ES3_339_2019,ES3
CVCL_1200,ES4_340_2019,ES4
CVCL_1201,ES5_341_2019,ES5
CVCL_1202,ES6_342_2019,ES6
CVCL_1203,ES7_343_2019,ES7
CVCL_1204,ES8_344_2019,ES8
CVCL_2035,ESO26_345_2019,ESO26
CVCL_2036,ESO51_346_2019,ESO51
CVCL_1205,ESS1_347_2019,ESS-1
CVCL_1206,ETK1_348_2019,ETK-1
CVCL_1207,EVSAT_349_2019,EVSA-T
CVCL_1208,EW1_350_2019,EW-1
CVCL_1209,EW11_351_2019,EW-11
CVCL_1210,EW12_352_2019,EW-12
CVCL_1211,EW13_353_2019,EW-13
CVCL_1212,EW16_354_2019,EW-16
CVCL_1213,EW18_355_2019,EW-18
CVCL_1214,EW22_356_2019,EW-22
CVCL_1215,EW24_357_2019,EW-24
CVCL_1216,EW3_358_2019,EW-3
CVCL_1217,EW7_359_2019,EW-7
CVCL_EQ72,EW7476_360_2019,EW7476
CVCL_V618,EW8_361_2019,EW8
CVCL_S740,EWS502_362_2019,EWS502
CVCL_2037,F36P_363_2019,F-36P
CVCL_V616,F5_364_2019,F5
CVCL_1218,FADU_365_2019,FADU
CVCL_3302,Farage_366_2019,Farage
CVCL_2045,FLO1_367_2019,FLO-1
CVCL_1219,FTC133_368_2019,FTC-133
CVCL_2447,FTC238_369_2019,FTC-238
CVCL_2047,FUOV1_370_2019,FU-OV-1
CVCL_2908,FU97_371_2019,FU97
CVCL_2909,"G292_clone_A141B1_372_2019","G-292, clone A141B1"
CVCL_1220,G361_373_2019,G-361
CVCL_0270,G401_374_2019,G-401
CVCL_1221,G402_375_2019,G-402
CVCL_W798,GMEL_376_2019,G-MEL
CVCL_N739,G111_377_2019,G111
CVCL_N740,G112_378_2019,G112
CVCL_N741,G118_379_2019,G118
CVCL_N742,G120_380_2019,G120
CVCL_N743,G121_381_2019,G121
CVCL_N744,G122_382_2019,G122
CVCL_N746,G124_383_2019,G124
CVCL_N747,G130_384_2019,G130
CVCL_N748,G140_385_2019,G140
CVCL_N749,G141_386_2019,G141
CVCL_N750,G142_387_2019,G142
CVCL_N723,G22_388_2019,G22
CVCL_0V15,G28T_389_2019,G28T
CVCL_N727,G44_390_2019,G44
CVCL_N729,G59_391_2019,G59
CVCL_N731,G61_392_2019,G61
CVCL_N735,G84_393_2019,G84
CVCL_N736,G96_394_2019,G96
CVCL_1222,GA10_395_2019,GA-10
CVCL_1224,GA10Clone4_396_2019,GA-10-Clone-4
CVCL_1225,GAK_397_2019,GAK
CVCL_1226,GAMG_398_2019,GAMG
CVCL_1227,GB1_399_2019,GB-1
CVCL_1228,GCIY_400_2019,GCIY
CVCL_1229,GCT_401_2019,GCT
CVCL_1230,GDM1_402_2019,GDM-1
CVCL_0271,Geo_403_2019,Geo
CVCL_1231,GI1_404_2019,GI-1
CVCL_1232,GIMEN_405_2019,GI-ME-N
CVCL_3371,GLC82_406_2019,GLC-82
CVCL_1233,GMS10_407_2019,GMS-10
CVCL_2050,GOS3_408_2019,GOS-3
CVCL_1234,GOTO_409_2019,GOTO
CVCL_2450,Gp2D_410_2019,Gp2D
CVCL_1235,GP5d_411_2019,GP5d
CVCL_2451,GRM_412_2019,GR-M
CVCL_1236,GRST_413_2019,GR-ST
CVCL_1818,GRANTA519_414_2019,GRANTA-519
CVCL_8876,GSS_415_2019,GSS
CVCL_8877,GSU_416_2019,GSU
CVCL_1237,GT3TKB_417_2019,GT3TKB
CVCL_7668,GTL16_418_2019,GTL-16
CVCL_1238,HEMCSS_419_2019,H-EMC-SS
CVCL_A543,H2591_423_2019,H2591
CVCL_U995,H2731_426_2019,H2731
CVCL_V000,H2818_431_2019,H2818
CVCL_V001,H2869_432_2019,H2869
CVCL_A555,H290_433_2019,H290
CVCL_A464,H3118_434_2019,H3118
CVCL_1239,H4_437_2019,H4
CVCL_A570,H513_438_2019,H513
CVCL_1240,H9_439_2019,H9
CVCL_1241,HA7RCC_440_2019,HA7-RCC
CVCL_1242,HAL01_441_2019,HAL-01
CVCL_2914,HARA_442_2019,HARA
CVCL_4362,HBL100_443_2019,HBL-100
CVCL_1243,HC1_444_2019,HC-1
CVCL_0289,HCA7_445_2019,HCA-7
CVCL_5126,HCC1171_446_2019,HCC-1171
CVCL_5127,HCC1195_447_2019,HCC-1195
CVCL_5128,HCC1359_448_2019,HCC-1359
CVCL_L088,HCC1438_449_2019,HCC-1438
CVCL_2057,HCC15_450_2019,HCC-15
CVCL_A351,HCC1588_451_2019,HCC-1588
CVCL_5129,HCC1833_452_2019,HCC-1833
CVCL_V578,HCC1897_453_2019,HCC-1897
CVCL_A352,HCC2108_454_2019,HCC-2108
CVCL_5131,HCC2279_455_2019,HCC-2279
CVCL_V586,HCC2814_456_2019,HCC-2814
CVCL_2058,HCC33_457_2019,HCC-33
CVCL_2059,HCC366_458_2019,HCC-366
CVCL_2060,HCC44_459_2019,HCC-44
CVCL_2917,HCC56_460_2019,HCC-56
CVCL_2061,HCC78_461_2019,HCC-78
CVCL_V622,HCC827GR5_462_2019,HCC-827-GR5
CVCL_5137,HCC95_463_2019,HCC-95
CVCL_1244,HCC1008_464_2019,HCC1008
CVCL_V675,HCC1011_465_2019,HCC1011
CVCL_1245,HCC1143_466_2019,HCC1143
CVCL_1246,HCC1143BL_467_2019,HCC1143BL
CVCL_V651,HCC1162_468_2019,HCC1162
CVCL_1247,HCC1187_469_2019,HCC1187
CVCL_V719,HCC12_470_2019,HCC12
CVCL_V686,HCC1263_471_2019,HCC1263
CVCL_V671,HCC1319_472_2019,HCC1319
CVCL_1249,HCC1395_473_2019,HCC1395
CVCL_1251,HCC1419_474_2019,HCC1419
CVCL_1252,HCC1428_475_2019,HCC1428
CVCL_V591,HCC1482_476_2019,HCC1482
